id,task,assignee,status,priority,estimate_hours,actual_hours,sprint,start_date,end_date,dependencies,labels
S1-001,ERD design + review,@architect,done,high,4,3,1,2026-08-01,2026-08-01,none,design
S1-002,Write 5 migrations_up.sql,@backend,done,high,6,5,1,2026-08-01,2026-08-02,ERD,sql
S1-003,Write 5 migrations_down.sql,@backend,done,high,4,3,1,2026-08-02,2026-08-02,migration,sql
S1-004,RLS policies,@backend,done,high,2,1,1,2026-08-02,2026-08-02,migration,security
S1-005,Pure engine (11 functions),@backend,done,high,8,7,1,2026-08-02,2026-08-03,none,engine
S1-006,Unit tests (25 cases),@qa,done,high,4,3,1,2026-08-03,2026-08-03,engine,test
S1-007,OpenAPI spec,@backend,done,medium,3,2,1,2026-08-03,2026-08-04,engine,docs
S2-001,Express router setup,@backend,done,high,2,1,2,2026-08-04,2026-08-04,engine,api
S2-002,/cases endpoints,@backend,done,high,4,3,2,2026-08-04,2026-08-05,router,api
S2-003,/thrombolysis endpoints,@backend,done,high,4,3,2,2026-08-05,2026-08-05,router,api
S2-004,/thrombectomy endpoints,@backend,done,high,4,3,2,2026-08-05,2026-08-06,router,api
S2-005,/imaging endpoints,@backend,done,medium,3,2,2,2026-08-06,2026-08-06,router,api
S2-006,Scoring endpoints (8),@backend,done,high,6,5,2,2026-08-06,2026-08-07,engine,api
S2-007,Dosing/eligibility/compliance endpoints,@backend,done,high,4,3,2,2026-08-07,2026-08-07,engine,api
S2-008,Stats endpoint,@backend,done,medium,2,1,2,2026-08-07,2026-08-07,router,api
S2-009,Integration tests,@qa,done,high,4,3,2,2026-08-07,2026-08-08,api,test
S3-001,pgvector extension,@backend,done,high,2,1,3,2026-08-08,2026-08-08,db,vector
S3-002,stroke_clinical_knowledge table,@backend,done,high,3,2,3,2026-08-08,2026-08-09,vector,sql
S3-003,Sample seeds (AHA/ASA + MoH),@backend,done,medium,4,3,3,2026-08-09,2026-08-09,vector,data
S3-004,Similarity search,@backend,done,high,4,3,3,2026-08-09,2026-08-10,vector,ai
S3-005,LangChain pipeline,@ai,done,high,6,5,3,2026-08-10,2026-08-11,vector,ai
S3-006,Safety guardrails,@security,done,high,4,3,3,2026-08-11,2026-08-11,ai,security
S4-001,Stitch index (dashboard),@frontend,done,high,4,3,4,2026-08-11,2026-08-12,none,ui
S4-002,Stitch detail page,@frontend,done,medium,3,2,4,2026-08-12,2026-08-12,index,ui
S4-003,Stitch form (Code Stroke),@frontend,done,high,4,3,4,2026-08-12,2026-08-13,api,ui
S4-004,Stitch chart (GWTG-S),@frontend,done,medium,4,3,4,2026-08-13,2026-08-13,stats,ui
S4-005,i18n AR,@frontend,done,high,4,3,4,2026-08-13,2026-08-14,ui,i18n
S4-006,i18n EN,@frontend,done,high,3,2,4,2026-08-14,2026-08-14,ui,i18n
S4-007,i18n FR,@frontend,done,medium,3,2,4,2026-08-14,2026-08-14,ui,i18n
S4-008,i18n UR,@frontend,done,medium,3,2,4,2026-08-14,2026-08-15,ui,i18n
S4-009,Mobile responsive,@frontend,done,medium,3,2,4,2026-08-15,2026-08-15,ui,ux
S5-001,PDPL compliance review,@compliance,done,high,4,3,5,2026-08-15,2026-08-15,none,compliance
S5-002,CBAHI standards check,@compliance,done,high,4,3,5,2026-08-15,2026-08-16,compliance,compliance
S5-003,NPHIES bundle mapping,@billing,done,medium,3,2,5,2026-08-16,2026-08-16,compliance,billing
S5-004,STRIDE threat model,@security,done,high,4,3,5,2026-08-16,2026-08-17,none,security
S5-005,User manual (AR),@doc,done,high,4,3,5,2026-08-17,2026-08-17,ui,docs
S5-006,User manual (EN),@doc,done,high,4,3,5,2026-08-17,2026-08-18,ui,docs
S5-007,Training videos (4),@training,done,medium,4,3,5,2026-08-18,2026-08-18,manual,training
S5-008,Deployment runbook,@devops,done,high,4,3,5,2026-08-18,2026-08-19,none,deploy
S6-001,Smoke tests,@qa,done,high,4,3,6,2026-08-19,2026-08-19,api,test
S6-002,Security scan,@security,done,high,4,3,6,2026-08-19,2026-08-19,api,security
S6-003,Apply migrations to staging,@devops,done,high,3,2,6,2026-08-19,2026-08-20,migration,deploy
S6-004,Verify RLS,@devops,done,high,2,1,6,2026-08-20,2026-08-20,migration,security
S6-005,Performance test,@qa,done,medium,4,3,6,2026-08-20,2026-08-20,api,perf
S6-006,Deploy to production,@devops,done,high,3,2,6,2026-08-20,2026-08-21,all,deploy
S6-007,Closeout report,@lead,done,medium,4,3,6,2026-08-21,2026-08-22,all,docs
S7-001,GWTG-S data export,@backend,planned,medium,8,,7,2026-09-01,2026-09-02,data,integration
S7-002,Telestroke integration,@backend,planned,high,13,,7,2026-09-02,2026-09-04,api,integration
S7-003,Mobile PWA,@frontend,planned,high,13,,7,2026-09-05,2026-09-07,ui,frontend
S7-004,Patient reminders,@backend,planned,medium,8,,7,2026-09-08,2026-09-09,patient,engagement
S7-005,ML outcome prediction,@ai,planned,low,13,,7,2026-09-09,2026-09-11,ai,advanced
