id,task,assignee,status,priority,estimate_hours,actual_hours,sprint,start_date,end_date,dependencies,labels
O1-001,ERD design,@architect,done,high,4,3,1,2026-08-22,2026-08-22,none,design
O1-002,4 migrations_up.sql,@backend,done,high,4,3,1,2026-08-22,2026-08-23,ERD,sql
O1-003,4 migrations_down.sql,@backend,done,high,3,2,1,2026-08-23,2026-08-23,migration,sql
O1-004,RLS policies,@backend,done,high,2,1,1,2026-08-23,2026-08-23,migration,security
O1-005,Pure engine (10 functions),@backend,done,high,8,7,1,2026-08-23,2026-08-25,none,engine
O1-006,Unit tests (25 cases),@qa,done,high,4,3,1,2026-08-25,2026-08-25,engine,test
O1-007,OpenAPI spec,@backend,done,medium,3,2,1,2026-08-25,2026-08-26,engine,docs
O2-001,Express router,@backend,done,high,2,1,2,2026-08-26,2026-08-26,engine,api
O2-002,/cases endpoints,@backend,done,high,3,2,2,2026-08-26,2026-08-27,router,api
O2-003,/cardiotoxicity endpoints,@backend,done,high,3,2,2,2026-08-27,2026-08-27,router,api
O2-004,/ici-myocarditis endpoints,@backend,done,high,3,2,2,2026-08-27,2026-08-28,router,api
O2-005,/vte endpoints,@backend,done,high,3,2,2,2026-08-28,2026-08-28,router,api
O2-006,Scoring endpoints (10),@backend,done,high,6,5,2,2026-08-28,2026-08-30,engine,api
O2-007,Stats endpoint,@backend,done,medium,2,1,2,2026-08-30,2026-08-30,router,api
O2-008,Integration tests,@qa,done,high,4,3,2,2026-08-30,2026-08-31,api,test
O3-001,pgvector,@backend,done,high,2,1,3,2026-08-31,2026-08-31,db,vector
O3-002,cardio_onc_knowledge table,@backend,done,high,3,2,3,2026-08-31,2026-09-01,vector,sql
O3-003,Sample seeds,@backend,done,medium,4,3,3,2026-09-01,2026-09-02,vector,data
O3-004,Similarity search,@backend,done,high,4,3,3,2026-09-02,2026-09-02,vector,ai
O3-005,LangChain,@ai,done,high,6,5,3,2026-09-02,2026-09-04,vector,ai
O3-006,Safety guardrails,@security,done,high,4,3,3,2026-09-04,2026-09-04,ai,security
O4-001,Stitch index,@frontend,done,high,4,3,4,2026-09-04,2026-09-05,none,ui
O4-002,Stitch detail,@frontend,done,medium,3,2,4,2026-09-05,2026-09-05,index,ui
O4-003,Stitch form,@frontend,done,high,4,3,4,2026-09-05,2026-09-06,api,ui
O4-004,Stitch chart,@frontend,done,medium,4,3,4,2026-09-06,2026-09-06,stats,ui
O4-005,i18n AR,@frontend,done,high,4,3,4,2026-09-06,2026-09-07,ui,i18n
O4-006,i18n EN,@frontend,done,high,3,2,4,2026-09-07,2026-09-07,ui,i18n
O4-007,i18n FR,@frontend,done,medium,3,2,4,2026-09-07,2026-09-08,ui,i18n
O4-008,i18n UR,@frontend,done,medium,3,2,4,2026-09-08,2026-09-08,ui,i18n
O5-001,PDPL,@compliance,done,high,4,3,5,2026-09-08,2026-09-08,none,compliance
O5-002,CBAHI,@compliance,done,high,4,3,5,2026-09-08,2026-09-09,compliance,compliance
O5-003,NCCN,@compliance,done,medium,3,2,5,2026-09-09,2026-09-09,compliance,compliance
O5-004,STRIDE,@security,done,high,4,3,5,2026-09-09,2026-09-10,none,security
O5-005,Manual AR,@doc,done,high,4,3,5,2026-09-10,2026-09-10,ui,docs
O5-006,Manual EN,@doc,done,high,4,3,5,2026-09-10,2026-09-11,ui,docs
O5-007,Training videos,@training,done,medium,4,3,5,2026-09-11,2026-09-11,manual,training
O5-008,Runbook,@devops,done,high,4,3,5,2026-09-11,2026-09-12,none,deploy
O6-001,Smoke tests,@qa,done,high,4,3,6,2026-09-12,2026-09-12,api,test
O6-002,Security scan,@security,done,high,4,3,6,2026-09-12,2026-09-12,api,security
O6-003,Apply migrations,@devops,done,high,3,2,6,2026-09-12,2026-09-13,migration,deploy
O6-004,Verify RLS,@devops,done,high,2,1,6,2026-09-13,2026-09-13,migration,security
O6-005,Performance,@qa,done,medium,4,3,6,2026-09-13,2026-09-13,api,perf
O6-006,Deploy prod,@devops,done,high,3,2,6,2026-09-13,2026-09-14,all,deploy
O6-007,Closeout,@lead,done,medium,4,3,6,2026-09-14,2026-09-15,all,docs
O7-001,Pyrophosphate integration,@backend,planned,medium,8,,7,2026-09-22,2026-09-23,api,integration
O7-002,ICI auto-detection,@ai,planned,high,13,,7,2026-09-23,2026-09-25,ai,advanced
O7-003,Mobile app,@frontend,planned,high,13,,7,2026-09-26,2026-09-28,ui,frontend
O7-004,Telemedicine,@backend,planned,medium,8,,7,2026-09-29,2026-09-30,patient,integration
